fighter,elo,record
Mark Coleman,1583.0045675676351,"{'July 12, 1996': {'opponent': 'Moti Horenstein', 'result': 1}, 'September 20, 1996': {'opponent': 'Brian Johnston', 'result': 1}, 'February 07, 1997': {'opponent': 'Dan Severn', 'result': 1}, 'July 27, 1997': {'opponent': 'Maurice Smith', 'result': 0}, 'May 15, 1998': {'opponent': 'Pete Williams', 'result': 0}, 'January 08, 1999': {'opponent': 'Pedro Rizzo', 'result': 0}, 'January 17, 2009': {'opponent': 'Mauricio Rua', 'result': 0}, 'July 11, 2009': {'opponent': 'Stephan Bonnar', 'result': 1}, 'February 06, 2010': {'opponent': 'Randy Couture', 'result': 0}}"
Moti Horenstein,1449.5666098083645,"{'July 12, 1996': {'opponent': 'Mark Coleman', 'result': 0}, 'July 27, 1997': {'opponent': 'Mark Kerr', 'result': 0}}"
Fabio Gurgel,1471.1215574950236,"{'September 20, 1996': {'opponent': 'Jerry Bohlander', 'result': 0}}"
Julian Sanchez,1478.7147789998862,"{'September 20, 1996': {'opponent': 'Mark Coleman', 'result': 0}}"
Reza Nasri,1471.5770215114785,"{'September 20, 1996': {'opponent': 'Brian Johnston', 'result': 0}}"
Yoshiki Takahashi,1532.0,"{'February 07, 1997': {'opponent': 'Wallid Ismail', 'result': 1}}"
Wallid Ismail,1470.939003057951,"{'February 07, 1997': {'opponent': 'Yoshiki Takahashi', 'result': 0}}"
Rainy Martinez,1472.4833807093753,"{'February 07, 1997': {'opponent': 'Jerry Bohlander', 'result': 0}}"
Jim Mullen,1470.3902282986555,"{'February 07, 1997': {'opponent': 'Scott Ferrozzo', 'result': 0}}"
Vitor Belfort,1606.901990967145,"{'February 07, 1997': {'opponent': 'Tra Telligman', 'result': 1}, 'May 30, 1997': {'opponent': 'David Abbott', 'result': 1}, 'October 17, 1997': {'opponent': 'Randy Couture', 'result': 0}, 'December 21, 1997': {'opponent': 'Joe Charles', 'result': 1}, 'October 16, 1998': {'opponent': 'Wanderlei Silva', 'result': 1}, 'June 22, 2002': {'opponent': 'Chuck Liddell', 'result': 0}, 'June 06, 2003': {'opponent': 'Marvin Eastman', 'result': 1}, 'January 31, 2004': {'opponent': 'Randy Couture', 'result': 1}, 'August 21, 2004': {'opponent': 'Randy Couture', 'result': 0}, 'February 05, 2005': {'opponent': 'Tito Ortiz', 'result': 0}, 'September 19, 2009': {'opponent': 'Rich Franklin', 'result': 1}, 'February 05, 2011': {'opponent': 'Anderson Silva', 'result': 0}, 'August 06, 2011': {'opponent': 'Yoshihiro Akiyama', 'result': 1}, 'January 14, 2012': {'opponent': 'Anthony Johnson', 'result': 1}, 'September 22, 2012': {'opponent': 'Jon Jones', 'result': 0}, 'January 19, 2013': {'opponent': 'Michael Bisping', 'result': 1}, 'May 18, 2013': {'opponent': 'Luke Rockhold', 'result': 1}, 'November 09, 2013': {'opponent': 'Dan Henderson', 'result': 1}, 'May 23, 2015': {'opponent': 'Chris Weidman', 'result': 0}, 'November 07, 2015': {'opponent': 'Dan Henderson', 'result': 1}, 'May 14, 2016': {'opponent': 'Jacare Souza', 'result': 0}, 'October 08, 2016': {'opponent': 'Gegard Mousasi', 'result': 0}, 'March 11, 2017': {'opponent': 'Kelvin Gastelum', 'result': 0.5}, 'June 03, 2017': {'opponent': 'Nate Marquardt', 'result': 1}, 'May 12, 2018': {'opponent': 'Lyoto Machida', 'result': 0}}"
Nick Sanzo,1473.6505581992424,"{'February 07, 1997': {'opponent': 'Jerry Bohlander', 'result': 0}}"
Tra Telligman,1471.1300166969531,"{'February 07, 1997': {'opponent': 'Vitor Belfort', 'result': 0}, 'December 21, 1997': {'opponent': 'Brad Kohler', 'result': 1}, 'May 07, 1999': {'opponent': 'Pedro Rizzo', 'result': 0}, 'June 06, 2003': {'opponent': 'Pedro Rizzo', 'result': 0}, 'August 20, 2005': {'opponent': 'Tim Sylvia', 'result': 0}}"
Tito Ortiz,1567.1877533597203,"{'May 30, 1997': {'opponent': 'Guy Mezger', 'result': 0}, 'January 08, 1999': {'opponent': 'Jerry Bohlander', 'result': 1}, 'March 05, 1999': {'opponent': 'Guy Mezger', 'result': 1}, 'September 24, 1999': {'opponent': 'Frank Shamrock', 'result': 0}, 'April 14, 2000': {'opponent': 'Wanderlei Silva', 'result': 1}, 'December 16, 2000': {'opponent': 'Yuki Kondo', 'result': 1}, 'February 23, 2001': {'opponent': 'Evan Tanner', 'result': 1}, 'June 29, 2001': {'opponent': 'Elvis Sinosic', 'result': 1}, 'September 28, 2001': {'opponent': 'Vladimir Matyushenko', 'result': 1}, 'November 22, 2002': {'opponent': 'Ken Shamrock', 'result': 1}, 'September 26, 2003': {'opponent': 'Randy Couture', 'result': 0}, 'April 02, 2004': {'opponent': 'Chuck Liddell', 'result': 0}, 'October 22, 2004': {'opponent': 'Patrick Cote', 'result': 1}, 'February 05, 2005': {'opponent': 'Vitor Belfort', 'result': 1}, 'April 15, 2006': {'opponent': 'Forrest Griffin', 'result': 1}, 'July 08, 2006': {'opponent': 'Ken Shamrock', 'result': 1}, 'October 10, 2006': {'opponent': 'Ken Shamrock', 'result': 1}, 'December 30, 2006': {'opponent': 'Chuck Liddell', 'result': 0}, 'July 07, 2007': {'opponent': 'Rashad Evans', 'result': 0.5}, 'May 24, 2008': {'opponent': 'Lyoto Machida', 'result': 0}, 'November 21, 2009': {'opponent': 'Forrest Griffin', 'result': 0}, 'October 23, 2010': {'opponent': 'Matt Hamill', 'result': 0}, 'July 02, 2011': {'opponent': 'Ryan Bader', 'result': 1}, 'August 06, 2011': {'opponent': 'Rashad Evans', 'result': 0}, 'December 10, 2011': {'opponent': 'Rogerio Nogueira', 'result': 0}, 'July 07, 2012': {'opponent': 'Forrest Griffin', 'result': 0}}"
Wes Albritton,1470.939003057951,"{'May 30, 1997': {'opponent': 'Tito Ortiz', 'result': 0}}"
Randy Couture,1637.6519002175935,"{'May 30, 1997': {'opponent': 'Tony Halme', 'result': 1}, 'October 17, 1997': {'opponent': 'Vitor Belfort', 'result': 1}, 'December 21, 1997': {'opponent': 'Maurice Smith', 'result': 1}, 'November 17, 2000': {'opponent': 'Kevin Randleman', 'result': 1}, 'May 04, 2001': {'opponent': 'Pedro Rizzo', 'result': 1}, 'November 02, 2001': {'opponent': 'Pedro Rizzo', 'result': 1}, 'March 22, 2002': {'opponent': 'Josh Barnett', 'result': 0}, 'September 27, 2002': {'opponent': 'Ricco Rodriguez', 'result': 0}, 'June 06, 2003': {'opponent': 'Chuck Liddell', 'result': 1}, 'September 26, 2003': {'opponent': 'Tito Ortiz', 'result': 1}, 'January 31, 2004': {'opponent': 'Vitor Belfort', 'result': 0}, 'August 21, 2004': {'opponent': 'Vitor Belfort', 'result': 1}, 'April 16, 2005': {'opponent': 'Chuck Liddell', 'result': 0}, 'August 20, 2005': {'opponent': 'Mike van Arsdale', 'result': 1}, 'February 04, 2006': {'opponent': 'Chuck Liddell', 'result': 0}, 'March 03, 2007': {'opponent': 'Tim Sylvia', 'result': 1}, 'August 25, 2007': {'opponent': 'Gabriel Gonzaga', 'result': 1}, 'November 15, 2008': {'opponent': 'Brock Lesnar', 'result': 0}, 'August 29, 2009': {'opponent': 'Antonio Rodrigo Nogueira', 'result': 0}, 'November 14, 2009': {'opponent': 'Brandon Vera', 'result': 1}, 'February 06, 2010': {'opponent': 'Mark Coleman', 'result': 1}, 'August 28, 2010': {'opponent': 'James Toney', 'result': 1}, 'April 30, 2011': {'opponent': 'Lyoto Machida', 'result': 0}}"
Steven Graham,1505.6093950162042,"{'May 30, 1997': {'opponent': 'Dmitri Stepanov', 'result': 1}}"
Jack Nilson,1532.0,"{'May 30, 1997': {'opponent': 'Saeed Hosseini', 'result': 1}}"
Saeed Hosseini,1470.939003057951,"{'May 30, 1997': {'opponent': 'Jack Nilson', 'result': 0}}"
Dmitri Stepanov,1468.4604852293792,"{'May 30, 1997': {'opponent': 'Steven Graham', 'result': 0}}"
Tony Halme,1473.5612814962624,"{'May 30, 1997': {'opponent': 'Randy Couture', 'result': 0}}"
Enson Inoue,1532.0,"{'May 30, 1997': {'opponent': 'Royce Alger', 'result': 1}}"
Royce Alger,1444.2373878626697,"{'May 30, 1997': {'opponent': 'Enson Inoue', 'result': 0}, 'July 16, 1999': {'opponent': 'Eugene Jackson', 'result': 0}}"
Tony Fryklund,1515.7911929012323,"{'July 27, 1997': {'opponent': 'Kevin Jackson', 'result': 0}, 'June 22, 2002': {'opponent': 'Rodrigo Ruas', 'result': 1}, 'October 22, 2004': {'opponent': 'Ivan Salaverry', 'result': 0}}"
Donnie Chappell,1470.939003057951,"{'July 27, 1997': {'opponent': 'Tony Fryklund', 'result': 0}}"
Dan Bobish,1502.9995120023893,"{'July 27, 1997': {'opponent': 'Mark Kerr', 'result': 0}}"
Alex Hunter,1561.060996942049,"{'July 27, 1997': {'opponent': 'Sam Fulton', 'result': 1}, 'October 17, 1997': {'opponent': 'Harry Moskowitz', 'result': 1}}"
Sam Fulton,1470.939003057951,"{'July 27, 1997': {'opponent': 'Alex Hunter', 'result': 0}}"
Yuri Vaulin,1468.5525654925493,"{'July 27, 1997': {'opponent': 'Joe Moreira', 'result': 0}}"
Kevin Jackson,1515.458679946898,"{'July 27, 1997': {'opponent': 'Todd Butler', 'result': 1}, 'December 21, 1997': {'opponent': 'Frank Shamrock', 'result': 0}, 'March 13, 1998': {'opponent': 'Jerry Bohlander', 'result': 0}}"
Todd Butler,1473.7397442009567,"{'July 27, 1997': {'opponent': 'Kevin Jackson', 'result': 0}}"
Mark Kerr,1615.2014272076926,"{'July 27, 1997': {'opponent': 'Dan Bobish', 'result': 1}, 'October 17, 1997': {'opponent': 'Dwayne Cason', 'result': 1}}"
